station_name,ridership_2013,ridership_2014,ridership_2015,ridership_2016,average
Baychester Av,4177,4196,4090,4064,3820.3333333333335
Gun Hill Rd,6002,6038,5880,5886,5634.0
Middletown Rd,1514,2273,2726,2066,2068.0
103 St,16189,16641,13057,13994,13872.0
Astor Pl,17914,17803,17274,16806,16404.666666666668
E 143 St - St Mary's St,911,927,989,1043,1005.0
Spring St,12257,12327,11543,11390,11077.0
Zerega Av,3253,2012,1647,2629,2640.6666666666665
68 St - Hunter College,36562,36208,35640,35068,27427.0
Buhre Av,3718,2155,2237,3568,3671.0
Brook Av,6186,6312,6244,6226,6128.0
Morrison Av- Sound View,6588,6669,6628,6755,6619.333333333333
3 Av - 138 St,7667,7951,7994,8008,7974.333333333333
116 St,16675,16674,16702,16707,15773.666666666666
28 St,23696,23856,24470,24130,19743.333333333332
Parkchester,16614,17746,16572,16561,16177.0
96 St,26232,26529,28060,26939,21123.0
110 St,12162,12452,13409,13341,12041.333333333334
St Lawrence Av,3995,4099,4185,4187,4141.0
Elder Av,6377,6496,6543,6642,6523.333333333333
77 St,37182,37521,36797,36103,29685.333333333332
Westchester Sq - E Tremont Av,6820,7351,6912,6635,6403.666666666667
Cypress Av,3842,3984,3974,4099,3907.3333333333335
Longwood Av,3494,3531,3482,3517,3476.6666666666665
E 149 St,4580,4619,4647,4861,4867.333333333333
33 St,32783,32863,32809,32153,31600.333333333332
Pelham Bay Park,6772,7442,7432,7213,7133.0
Castle Hill Av,5632,4938,7174,6895,6711.333333333333
23 St,31777,31212,29972,29452,29842.666666666668
Hunts Point Av,10144,10111,10484,10651,10585.666666666666
Whitlock Av,1685,1707,1737,1830,1876.3333333333333
40 St,11100,11211,11053,11089,10555.666666666666
Hunters Point Av,6400,6666,6803,7292,7260.0
Vernon Blvd - Jackson Av,12610,14123,14819,15910,15594.666666666666
46 St,14656,14634,14413,14335,13592.333333333334
90 St - Elmhurst Av,16743,16747,16814,16957,16686.0
Junction Blvd,20818,21116,21557,22051,21634.0
82 St - Jackson Hts,15662,15899,15711,15765,15261.333333333334
Woodside - 61 St,16559,16807,17007,17236,16894.0
111 St,10914,11091,11198,11421,11298.666666666666
Flushing - Main St,60190,60252,60226,60259,58146.333333333336
34 St - Hudson Yards,,,2064,8507,9792.6666666666661
Mets - Willets Point,4675,4555,5244,5367,5000.333333333333
69 St,5085,5128,4988,5072,4908.0
52 St,6830,6951,6888,6795,6430.333333333333
103 St - Corona Plaza,19216,19814,20044,20282,20021.666666666668
33 St,14246,14256,13604,13302,12253.333333333334
Beach 25 St,904,1722,1861,1968,1895.0
Inwood - 207 St,8866,9136,9317,9350,9120.0
Beach 44 St,297,581,624,676,686.33333333333337
Grant Av,6270,6475,6696,7044,6419.333333333333
190 St,4546,4549,4683,4748,4680.333333333333
Aqueduct Racetrack,551,1597,1711,1739,1770.6666666666667
Beach 67 St,1118,2183,2407,2493,2345.3333333333335
104 St,1736,1333,1890,2189,1976.6666666666667
Beach 60 St,1317,2448,2501,2507,2279.6666666666665
Rockaway Blvd,8662,8474,5690,7683,7667.666666666667
88 St,2719,2065,3464,3221,3007.0
Far Rockaway - Mott Av,2651,4748,4989,5009,4727.333333333333
Beach 36 St,466,872,936,975,941.33333333333337
181 St,10404,10861,11237,11294,11011.666666666666
Howard Beach - JFK Airport,4972,2835,3059,3011,3226.3333333333335
Dyckman St,6557,6687,6831,6874,6696.666666666667
Ozone Park - Lefferts Blvd,7476,7641,7732,8023,7778.666666666667
111 St,2718,2815,2727,1947,2371.3333333333335
Aqueduct - N Conduit Av,1951,1122,1181,1125,1025.6666666666667
175 St,13309,13460,13224,13377,13058.0
80 St,4291,4664,4445,3574,4102.0
Shepherd Av,3149,3263,3370,3393,3304.0
Rockaway Av,5137,5223,5443,5678,5686.666666666667
Ralph Av,5381,5570,5796,5801,5835.0
