station_name,ridership_2013,ridership_2014,ridership_2015,ridership_2016,average
21 St - Queensbridge,8761,8914,9447,9779,9225.25
Clinton - Washington Avs,5294,5178,5364,5312,5287.0
Flushing Av,2373,2627,2819,2857,2669.0
Fulton St,4266,4502,4954,5096,4704.5
21 St,1309,1265,1564,1735,1468.25
Greenpoint Av,8461,7819,9191,9413,8721.0
Bedford - Nostrand Avs,7300,7778,8197,8487,7940.5
Nassau Av,8435,8765,9066,9150,8854.0
Classon Av,4490,4601,4966,4996,4763.25
Myrtle - Willoughby Avs,4916,5330,5783,5889,5479.5
Broadway,3368,3500,4011,4340,3804.75
85 St - Forest Pkwy,3792,3860,3947,3968,3891.75
Halsey St,5805,6174,6410,6490,6219.75
Cypress Hills,1431,1444,1456,1501,1458.0
111 St,2605,2596,2627,2607,2608.75
Kosciuszko St,4751,4761,4927,5118,4889.25
Cleveland St,3328,3467,3514,3483,3448.0
E 105 St,3818,3911,4002,4070,3950.25
New Lots Av,4785,5005,5244,5431,5116.25
Jefferson St,6612,7230,7565,7639,7261.5
Canarsie - Rockaway Pkwy,13254,13512,13481,13131,13344.5
Wilson Av,3865,4248,4437,3812,4090.5
Morgan Av,7126,7298,7221,7592,7309.25
1 Av,23467,24286,23789,23195,23684.25
Grand St,7444,7824,7307,6977,7388.0
Atlantic Av,1580,1725,1384,1455,1536.0
Sutter Av,4555,4675,4727,4688,4661.25
DeKalb Av,11617,11943,12158,12307,12006.25
Bedford Av,25755,27224,27132,27486,26899.25
Halsey St,7308,7720,7932,8426,7846.5
Graham Av,10136,10643,10504,10483,10441.5
Livonia Av,2959,3078,3269,3418,3181.0
Bushwick Av - Aberdeen St,1509,1683,1874,2105,1792.75
Alabama Av,2443,2448,2520,2585,2499.0
3 Av,6803,7193,7140,7179,7078.75
Montrose Av,6731,6961,7025,7007,6931.0
Central Av,1744,3282,3715,3884,3156.25
Forest Av,4103,4210,4386,4429,4282.0
Middle Village - Metropolitan Av,4092,4318,4489,4530,4357.25
Seneca Av,2428,2545,2726,2832,2632.75
Fresh Pond Rd,5333,5677,6002,6130,5785.5
Knickerbocker Av,3429,3806,4104,4228,3891.75
18 Av,5092,5491,5502,2266,4587.75
Fort Hamilton Pkwy,7034,7244,6964,1771,5753.25
Kings Hwy,5154,5344,5482,1489,4367.25
8 Av,10873,11341,11430,14201,11961.25
Bay Pkwy,6990,7301,7164,10955,8102.5
86 St,2515,2622,2718,1298,2288.25
Avenue U,3738,3857,3894,1399,3222.0
20 Av,4190,4277,4223,1348,3509.5
Avenue U,6821,6922,6975,7384,7025.5
86 St,,,,,
96 St,,,,,
72 St,,,,,
Avenue J,6036,6060,6009,6136,6060.25
Avenue H,2861,2961,2994,3183,2999.75
Avenue M,5836,5903,5869,6052,5915.0
Ocean Pkwy,3141,3124,3203,3211,3169.75
Cortelyou Rd,5318,5727,6220,6332,5899.25
Beverley Rd,2340,2690,2894,3059,2745.75
53 St,7479,7512,7458,7386,7458.75
45 St,6978,7208,7265,7055,7126.5
Bay Ridge - 95 St,5974,6051,6101,6090,6054.0
25 St,3821,3959,3847,3788,3853.75
86 St,11648,11920,11963,12078,11902.25
Bay Ridge Av,8079,8283,8379,8415,8289.0
77 St,5353,5548,5608,5720,5557.25
Prospect Av,5934,5943,5896,5842,5903.75
Union St,6528,6415,6599,6512,6513.5
116 St,11508,11787,12196,12090,11895.25
125 St,15351,15744,15986,15719,15700.0
135 St,14690,15335,15598,15446,15267.25
Bergen St,4070,3923,3823,3884,3925.0
Wall St,26706,28075,27242,27291,27328.5
Grand Army Plaza,8066,7971,7731,7735,7875.75
Central Park North (110 St),9130,9559,9865,9855,9602.25
Clark St,5971,6083,5922,5903,5969.75
Eastern Pkwy - Brooklyn Museum,4938,4889,4915,4719,4865.25
Bronx Park East,2959,3005,2868,2785,2904.25
Freeman St,4762,4867,4899,5055,4895.75
President St,3969,4092,4120,4114,4073.75
Intervale Av,3420,3571,3472,3423,3471.5
Gun Hill Rd,7339,7752,7790,7714,7648.75
Nereid Av,3878,3850,3817,3753,3824.5
Pelham Pkwy,9614,9688,9774,9441,9629.25
West Farms Sq - E Tremont Av,7979,8170,8010,7848,8001.75
3 Av - 149 St,24001,25161,24813,24808,24695.75
Allerton Av,5526,5737,5779,5530,5643.0
174 St,7339,7599,7619,7690,7561.75
Beverly Rd,4375,4447,4457,4464,4435.75
Flatbush Av - Brooklyn College,21941,21865,21666,21268,21685.0
Jackson Av,5432,5631,5705,5752,5630.0
233 St,5473,5701,5632,5438,5561.0
Burke Av,3612,3672,3644,3550,3619.5
Winthrop St,7639,7720,7541,7272,7543.0
Prospect Av,7424,7857,7908,8004,7798.25
Sterling St,5915,5783,5802,5806,5826.5
Simpson St,9672,9948,9981,9680,9820.25
Church Av,9794,9852,9864,9808,9829.5
E 180 St,7003,7489,7587,7697,7444.0
219 St,3483,3544,3529,3423,3494.75
225 St,4479,4593,4591,4408,4517.75
Newkirk Av,7757,8015,8035,7840,7911.75
Wall St,25078,25619,23595,22211,24125.75
138 St - Grand Concourse,3222,3416,3480,3532,3412.5
Bowling Green,30640,34830,31556,31522,32137.0
Euclid Av,10418,10652,11014,10870,10738.5
High St,7543,8174,8479,8701,8224.25
Hoyt St,6657,7138,7342,7615,7188.0
Utica Av,14673,15117,15674,16060,15381.0
Nostrand Av,16843,17062,17790,18231,17481.5
Broad Channel,127,251,310,313,250.25
Beach 90 St,463,846,946,939,798.5
Rockaway Park - Beach 116 St,379,677,747,727,632.5
Beach 105 St,141,260,305,289,248.75
Beach 98 St,292,563,608,579,510.5
81 St - Museum of Natural History,13663,13935,14129,14140,13966.75
72 St,9067,9361,9443,9448,9329.75
96 St,9815,10203,10365,10425,10202.0
86 St,11236,11605,11594,11809,11561.0
116 St,6594,7005,7215,7417,7057.75
135 St,5592,5620,5575,5785,5643.0
103 St,4760,4832,4800,4776,4792.0
Cathedral Pkwy (110 St),7117,7253,7490,7553,7353.25
182-183 Sts,4554,4813,5020,5177,4891.0
174-175 Sts,4885,5301,5312,5519,5254.25
Bedford Park Blvd,6303,6645,7046,7236,6807.5
170 St,6563,6988,7101,7225,6969.25
Fordham Rd,11878,12363,12145,12208,12148.5
155 St,3948,4022,4038,4052,4015.0
Kingsbridge Rd,7422,7975,8006,8144,7886.75
Grand St,23770,24153,24281,24649,24213.25
167 St,9374,9906,10166,10439,9971.25
Tremont Av,9157,9727,9980,10246,9777.5
Church Av,17638,17473,17811,17482,17601.0
7 Av,9389,9495,9641,9731,9564.0
Prospect Park,9761,9715,10033,9995,9876.0
Parkside Av,4240,4969,5266,5524,4999.75
Sheepshead Bay,14010,14118,14304,14477,14227.25
Neck Rd,3941,4033,4207,4354,4133.75
Newkirk Plaza,10788,10707,10864,10842,10800.25
Brighton Beach,12185,12498,12794,13035,12628.0
Kings Hwy,18799,19010,19500,20094,19350.75
Spring St,13136,13319,12914,12775,13036.0
23 St,24782,25620,25731,24569,25175.5
50 St,19406,20993,20828,20921,20537.0
75 Av,3763,3742,3756,3710,3742.75
Kew Gardens - Union Tpke,28289,27693,27558,27085,27656.25
Briarwood - Van Wyck Blvd,4664,4695,4876,5057,4823.0
Fort Hamilton Pkwy,5531,5650,5783,6044,5752.0
Church Av,9984,9954,10490,10151,10144.75
7 Av,12268,12242,12049,11897,12114.0
Smith - 9 Sts,2854,4762,5084,4861,4390.25
Carroll St,12339,11744,11923,11848,11963.5
Bergen St,11562,11570,11548,11529,11552.25
15 St - Prospect Park,6448,6495,6385,6342,6417.5
W 8 St - NY Aquarium,2069,2262,2397,2421,2287.25
Lexington Av/63 St,15404,15493,16098,16988,15995.75
Lorimer St,4796,4836,5070,5138,4960.0
Hewes St,2859,2859,2992,2866,2894.0
Flushing Av,9165,9258,9483,9347,9313.25
Norwood Av,3492,3603,3639,3613,3586.75
104 St,2575,2659,2710,2758,2675.5
121 St,2222,2397,2462,2500,2395.25
Gates Av,5999,6277,6521,6602,6349.75
Bowery,2743,3015,3325,3504,3146.75
Chauncey St,2967,3050,3200,3360,3144.25
Woodhaven Blvd,4576,4796,4940,4838,4787.5
Van Siclen Av,2883,2940,3004,3067,2973.5
75 St,3759,3777,3837,3837,3802.5
Crescent St,4683,4925,5073,5053,4933.5
Broad St,5635,6525,6865,7279,6576.0
67 Av,9475,9544,9548,9479,9511.5
63 Dr - Rego Park,16334,16771,16770,16868,16685.75
65 St,3532,3647,3762,3747,3672.0
Elmhurst Av,13597,13568,13588,13508,13565.25
36 St,4540,4597,4733,4776,4661.5
Grand Av - Newtown,18298,18413,18955,19373,18759.75
Woodhaven Blvd,22276,22156,22220,22483,22283.75
Steinway St,14769,14870,14895,14836,14842.5
Northern Blvd,7235,7431,7428,7413,7376.75
46 St,9529,9608,9439,9362,9484.5
30 Av,14802,14897,14771,14739,14802.25
36 Av,7688,7577,7447,7347,7514.75
39 Av,3262,3504,3391,3207,3341.0
Astoria - Ditmars Blvd,17039,17178,17181,17345,17185.75
Broadway,13280,13515,13236,12957,13247.0
Astoria Blvd,12210,12209,12344,12358,12280.25
8 St - NYU,16597,17248,17902,18305,17513.0
City Hall,5666,4344,6310,6766,5771.5
28 St,11607,12407,13271,13680,12741.25
23 St,22760,24060,25973,26693,24871.5
Prince St,15261,15404,15597,15424,15421.5
Rector St,5362,4127,6157,6524,5542.5
34 St - Penn Station,90042,92693,92176,90524,91358.75
72 St,40853,40639,40506,40450,40612.0
96 St,38711,39254,39434,38859,39064.5
Chambers St,23147,23862,23997,23574,23645.0
86 St,64741,65634,65948,64793,65279.0
125 St,29425,30168,30277,30024,29973.5
Canal St,19738,19974,20103,19660,19868.75
34 St - Penn Station,83717,85634,84778,82584,84178.25
Sutphin Blvd - Archer Av - JFK Airport,23012,23747,24349,24796,23976.0
Jamaica Center - Parsons/Archer,41686,42261,42115,41603,41916.25
Marcy Av,11775,12547,13276,13815,12853.25
Myrtle Av,10876,11048,11424,11801,11287.25
145 St,22879,23805,24307,24604,23898.75
125 St,27395,28428,29062,29423,28577.0
