station_name,ridership_2013,ridership_2014,ridership_2015,ridership_2016,average
36 St,12059,12497,12810,13180,12636.5
W 4 St - Washington Sq,40798,41968,42760,42755,42070.25
Jay St - MetroTech,40183,41405,43456,44267,42327.75
Times Sq - 42 St / 42 St,197696,204908,206247,202363,202803.5
4 Av,13156,12835,13126,13116,13058.25
Lorimer St / Metropolitan Av,14004,14573,15131,15082,14697.5
New Utrecht Av / 62 St,5159,5270,5551,5602,5395.5
Lexington Av/53 St / 51 St,69973,70606,70686,69750,70253.75
5 Av/53 St,25939,26761,26955,26566,26555.25
59 St - Columbus Circle,72236,74572,73954,73836,73649.5
Myrtle - Wyckoff Avs,18167,19203,19490,19673,19133.25
Lexington Av/59 St,67841,69332,68988,67684,68461.25
5 Av/59 St,18394,19245,18957,18637,18808.25
14 St / 8 Av,42718,43953,45253,44680,44151.0
Crown Hts - Utica Av,27780,28287,28146,29069,28320.5
149 St - Grand Concourse,14380,14576,14465,14460,14470.25
Atlantic Av - Barclays Ctr,39871,41645,42231,42711,41614.5
Coney Island - Stillwell Av,13177,13734,14073,14098,13770.5
Wakefield - 241 St,4825,5168,5186,5213,5098.0
Broadway-Lafayette St / Blecker St,38799,40148,39724,39058,39432.25
Broadway Jct,8863,9149,9251,9189,9113.0
Fulton St,64461,69444,74676,85440,73505.25
Grand Central - 42 St,153861,157899,160294,158580,157658.5
7 Av,15800,16833,17356,17538,16881.75
49 St,25356,26546,25459,27077,26109.5
47-50 Sts - Rockefeller Ctr,61099,62693,63803,62283,62469.5
Franklin Av,6227,6492,6468,6289,6369.0
Court St,38428,38944,38559,38089,38505.0
161 St - Yankee Stadium,26972,27541,27020,26947,27120.0
Brooklyn Bridge - City Hall / Chambers St,36680,37160,35858,34352,36012.5
59 St,12506,12871,13048,13144,12892.25
42 St - Bryant Pk / 5 Av,53222,54289,55400,57793,55176.0
South Ferry / Whitehall St,20405,23017,28809,29534,25441.25
Delancey St / Essex St,23691,24154,24902,25625,24593.0
Chambers St / WTC / Park Place,58923,61076,66165,67906,63517.5
Queensboro Plaza,11132,11554,11786,12936,11852.0
57 St - 7 Av,28159,29414,29976,30311,29465.0
Forest Hills - 71 Av,27728,27784,28209,28135,27964.0
Park Pl,2077,1968,1922,1850,1954.25
Franklin Av,15775,15787,15866,15834,15815.5
Jamaica - Van Wyck,4992,5121,5092,5022,5056.75
34 St - Herald Sq,122517,125355,126776,125682,125082.5
Queens Plaza,9696,10125,10475,10652,10237.0
14 St - Union Sq,108158,109472,108440,106718,108197.0
Court Sq,20446,22433,22717,23317,22228.25
23 St,28749,29327,30652,31078,29951.5
Nevins St,11468,11752,10896,10716,11208.0
Canal St,44696,44362,44409,45030,44624.25
DeKalb Av,17318,17350,17889,18774,17832.75
14 St / 6 Av,49316,49990,50335,50692,50083.25
74 St - Broadway / Jackson Hts - Roosevelt Av,50841,51285,51925,52296,51586.75
Hoyt - Schermerhorn Sts,9604,9672,9818,9894,9747.0
168 St,25041,25659,25845,25879,25606.0
System Total,5465034,5597551,5650610,5655755,5592237.5
Manhattan,3027257,3103039,3130437,3128188,3097230.25
Queens,782322,797420,804251,809903,798474.0
Systemwide Adjustment,63,223,152,72,127.5
Brooklyn,1178741,1210086,1227391,1226715,1210733.25
Bronx,476651,486783,488379,490877,485672.5
Houston St,15736,15878,15286,15333,15558.25
Rector St,11323,10869,10625,9788,10651.25
145 St,9931,10099,10112,10039,10045.25
Canal St,6039,6277,6275,6116,6176.75
215 St,2078,2057,2012,2001,2037.0
Cathedral Pkwy,13874,13630,13444,12926,13468.5
191 St,8258,8580,8619,8545,8500.5
137 St - City College,14947,14768,14798,14460,14743.25
116 St - Columbia University,16363,16460,16132,15861,16204.0
Van Cortlandt Park - 242 St,6943,7107,7338,7431,7204.75
66 St - Lincoln Center,23651,24311,24631,24064,24164.25
23 St,15283,15542,15451,15062,15334.5
181 St,11228,11673,11850,11578,11582.25
125 St,7995,8077,7991,7794,7964.25
157 St,10677,10822,10918,10928,10836.25
207 St,6098,6336,6514,6562,6377.5
79 St,16576,16987,16865,16372,16700.0
86 St,19766,20221,20145,19757,19972.25
Christopher St - Sheridan Sq,10076,10060,9898,9792,9956.5
Marble Hill - 225 St,5456,5766,5732,5636,5647.5
50 St,26192,27251,26927,26362,26683.0
103 St,13500,13318,13309,13246,13343.25
238 St,3598,3934,4068,4350,3987.5
28 St,15149,15568,15620,15253,15397.5
18 St,8505,8638,8800,8903,8711.5
231 St,8951,9372,9596,9749,9417.0
Dyckman St,6564,7112,7233,7297,7051.5
WTC Cortlandt,0,0,0,0,0.0
Franklin St,5825,5867,5825,5984,5875.25
Harlem - 148 St,3790,3952,4096,4017,3963.75
Saratoga Av,5807,5933,8148,4006,5973.5
Sutter Av - Rutland Rd,7831,8084,8031,6785,7682.75
New Lots Av,6349,6626,7133,6855,6740.75
Pennsylvania Av,5675,5718,6997,2485,5218.75
Nostrand Av,4151,4268,4306,4239,4241.0
Junius St,2206,2361,3043,2230,2460.0
Kingston Av,4949,5017,4999,4977,4985.5
145 St,3426,3631,3664,3590,3577.75
Van Siclen Av,3431,3438,989,4194,3013.0
Rockaway Av,5632,5735,1690,5122,4544.75
Mt Eden Av,5995,5891,5817,5770,5868.25
Kingsbridge Rd,10431,10231,10107,9998,10191.75
Bedford Park Blvd - Lehman College,6201,6089,6040,5912,6060.5
167 St,9904,9793,9923,9972,9898.0
Mosholu Pkwy,9588,9459,9252,9135,9358.5
170 St,9525,9403,9507,9514,9487.25
183 St,6360,6356,6372,6443,6382.75
Fordham Rd,12558,12231,11982,11957,12182.0
176 St,5905,5914,6160,6378,6089.25
Burnside Av,11560,11538,11551,11479,11532.0
Woodlawn,7776,7683,7637,7623,7679.75
Morris Park,2210,2253,2319,2487,2317.25
Eastchester - Dyre Av,4948,4948,4845,4769,4877.5
Pelham Pkwy,3254,3304,3303,3332,3298.25
Baychester Av,4177,4196,4090,4064,4131.75
Gun Hill Rd,6002,6038,5880,5886,5951.5
Middletown Rd,1514,2273,2726,2066,2144.75
103 St,16189,16641,13057,13994,14970.25
Astor Pl,17914,17803,17274,16806,17449.25
E 143 St - St Mary's St,911,927,989,1043,967.5
Spring St,12257,12327,11543,11390,11879.25
Zerega Av,3253,2012,1647,2629,2385.25
68 St - Hunter College,36562,36208,35640,35068,35869.5
Buhre Av,3718,2155,2237,3568,2919.5
Brook Av,6186,6312,6244,6226,6242.0
Morrison Av- Sound View,6588,6669,6628,6755,6660.0
3 Av - 138 St,7667,7951,7994,8008,7905.0
116 St,16675,16674,16702,16707,16689.5
28 St,23696,23856,24470,24130,24038.0
Parkchester,16614,17746,16572,16561,16873.25
96 St,26232,26529,28060,26939,26940.0
110 St,12162,12452,13409,13341,12841.0
St Lawrence Av,3995,4099,4185,4187,4116.5
Elder Av,6377,6496,6543,6642,6514.5
77 St,37182,37521,36797,36103,36900.75
Westchester Sq - E Tremont Av,6820,7351,6912,6635,6929.5
Cypress Av,3842,3984,3974,4099,3974.75
Longwood Av,3494,3531,3482,3517,3506.0
E 149 St,4580,4619,4647,4861,4676.75
33 St,32783,32863,32809,32153,32652.0
Pelham Bay Park,6772,7442,7432,7213,7214.75
Castle Hill Av,5632,4938,7174,6895,6159.75
23 St,31777,31212,29972,29452,30603.25
Hunts Point Av,10144,10111,10484,10651,10347.5
Whitlock Av,1685,1707,1737,1830,1739.75
40 St,11100,11211,11053,11089,11113.25
Hunters Point Av,6400,6666,6803,7292,6790.25
Vernon Blvd - Jackson Av,12610,14123,14819,15910,14365.5
46 St,14656,14634,14413,14335,14509.5
90 St - Elmhurst Av,16743,16747,16814,16957,16815.25
Junction Blvd,20818,21116,21557,22051,21385.5
82 St - Jackson Hts,15662,15899,15711,15765,15759.25
Woodside - 61 St,16559,16807,17007,17236,16902.25
111 St,10914,11091,11198,11421,11156.0
Flushing - Main St,60190,60252,60226,60259,60231.75
34 St - Hudson Yards,,,2064,8507,
Mets - Willets Point,4675,4555,5244,5367,4960.25
69 St,5085,5128,4988,5072,5068.25
52 St,6830,6951,6888,6795,6866.0
103 St - Corona Plaza,19216,19814,20044,20282,19839.0
33 St,14246,14256,13604,13302,13852.0
Beach 25 St,904,1722,1861,1968,1613.75
Inwood - 207 St,8866,9136,9317,9350,9167.25
Beach 44 St,297,581,624,676,544.5
Grant Av,6270,6475,6696,7044,6621.25
190 St,4546,4549,4683,4748,4631.5
Aqueduct Racetrack,551,1597,1711,1739,1399.5
Beach 67 St,1118,2183,2407,2493,2050.25
104 St,1736,1333,1890,2189,1787.0
Beach 60 St,1317,2448,2501,2507,2193.25
Rockaway Blvd,8662,8474,5690,7683,7627.25
88 St,2719,2065,3464,3221,2867.25
Far Rockaway - Mott Av,2651,4748,4989,5009,4349.25
Beach 36 St,466,872,936,975,812.25
181 St,10404,10861,11237,11294,10949.0
Howard Beach - JFK Airport,4972,2835,3059,3011,3469.25
Dyckman St,6557,6687,6831,6874,6737.25
Ozone Park - Lefferts Blvd,7476,7641,7732,8023,7718.0
111 St,2718,2815,2727,1947,2551.75
Aqueduct - N Conduit Av,1951,1122,1181,1125,1344.75
175 St,13309,13460,13224,13377,13342.5
80 St,4291,4664,4445,3574,4243.5
Shepherd Av,3149,3263,3370,3393,3293.75
Rockaway Av,5137,5223,5443,5678,5370.25
Ralph Av,5381,5570,5796,5801,5637.0
Lafayette Av,4825,4857,4849,4888,4854.75
Van Siclen Av,2974,3050,3202,3224,3112.5
155 St,2529,2586,2596,2733,2611.0
Clinton - Washington Avs,6642,6719,6603,6932,6724.0
Kingston - Throop Avs,5678,5968,6210,6350,6051.5
163 St - Amsterdam Av,4080,4271,4340,4513,4301.0
Liberty Av,2658,2639,2780,3020,2774.25
Bay 50 St,2793,2875,2872,3176,2929.0
Norwood - 205 St,8043,8466,8640,8897,8511.5
55 St,1964,1981,2002,2223,2042.5
50 St,3308,3289,3220,3336,3288.25
18 Av,6162,6326,6242,6413,6285.75
9 Av,5857,6004,5856,5867,5896.0
25 Av,4607,4761,4886,6507,5190.25
Fort Hamilton Pkwy,3984,4248,4260,4420,4228.0
20 Av,4859,4930,5115,5268,5043.0
79 St,6293,6617,6755,6973,6659.5
71 St,4538,4682,4802,6501,5130.75
Bay Pkwy,7111,7322,7501,8069,7500.75
Avenue X,2972,2859,1928,2424,2545.75
East Broadway,13276,13720,14228,14654,13969.5
57 St,15363,15506,15725,15768,15590.5
Jamaica - 179 St,23280,23093,23417,23121,23227.75
Avenue N,3411,3419,3410,3187,3356.75
Ditmas Av,4676,4622,3386,3524,4052.0
Sutphin Blvd,4932,4795,4851,4652,4807.5
Neptune Av,1749,1698,1807,1742,1749.0
2 Av,17801,17183,17355,17059,17349.5
Roosevelt Island,6321,5998,6197,6630,6286.5
Avenue U,2296,2215,2439,2578,2382.0
Bay Pkwy,1575,1516,1491,1329,1477.75
Kings Hwy,3655,3616,3726,4637,3908.5
169 St,9042,9106,9138,9016,9075.5
Parsons Blvd,6463,6540,6640,6644,6571.75
18 Av,4204,4050,4458,4440,4288.0
York St,8629,8973,9328,10246,9294.0
Avenue P,2757,2767,2804,2688,2754.0
Avenue I,2283,2250,2235,1962,2182.5
